release_date,title,website_title,cleaned_website_title,final_title
2005-11-05,harry_potter_and_the_goblet_of_fire,harry_potter_and_the_goblet_of_fire,harry_potter_and_the_goblet_of_fire,harry_potter_and_the_goblet_of_fire
2008-07-01,hancock,hancock,hancock,hancock
2007-12-14,i_am_legend,i_am_legend,i_am_legend,i_am_legend
2005-07-13,charlie_and_the_chocolate_factory,charlie_and_the_chocolate_factory,charlie_and_the_chocolate_factory,charlie_and_the_chocolate_factory
2007-06-22,ratatouille,ratatouille,ratatouille,ratatouille
2005-06-10,batman_begins,batman_begins,batman_begins,batman_begins
2008-10-30,madagascar_escape_2_africa,madagascar_escape_2_africa,madagascar_escape_2_africa,madagascar_escape_2_africa
2009-05-20,night_at_the_museum_battle_of_the_smithsonian,https://www.rottentomatoes.com/m/night_at_the_museum_battle_of_the_smithsonian,night_at_the_museum_2,night_at_the_museum_2
2009-04-28,x_men_origins_wolverine,https://www.rottentomatoes.com/m/x_men_origins_wolverine,wolverine,wolverine
2003-11-05,the_matrix_revolutions,the_matrix_revolutions,the_matrix_revolutions,the_matrix_revolutions
2013-11-27,frozen,frozen,frozen,frozen
2003-05-15,the_matrix_reloaded,the_matrix_reloaded,the_matrix_reloaded,the_matrix_reloaded
2013-10-29,thor_the_dark_world,thor_the_dark_world,thor_the_dark_world,thor_the_dark_world
2015-05-13,mad_max_fury_road,mad_max_fury_road,mad_max_fury_road,mad_max_fury_road
2009-05-13,angels__demons,https://www.rottentomatoes.com/m/angels__demons,1189217-angels_and_demons,1189217-angels_and_demons
2011-04-21,thor,thor,thor,thor
2008-11-21,bolt,bolt,bolt,bolt
2009-07-21,g_force,https://www.rottentomatoes.com/m/g_force,10009462-g_force,10009462-g_force
2012-03-27,wrath_of_the_titans,wrath_of_the_titans,wrath_of_the_titans,wrath_of_the_titans
2012-05-08,dark_shadows,dark_shadows,dark_shadows,dark_shadows
2015-07-23,mission_impossible___rogue_nation,https://www.rottentomatoes.com/m/mission_impossible___rogue_nation,mission_impossible_rogue_nation,mission_impossible_rogue_nation
2010-02-11,the_wolfman,https://www.rottentomatoes.com/m/the_wolfman,1194949-wolfman,1194949-wolfman
2007-10-28,bee_movie,bee_movie,bee_movie,bee_movie
2011-05-25,kung_fu_panda_2,https://www.rottentomatoes.com/m/kung_fu_panda_2,kung_fu_panda_the_kaboom_of_doom,kung_fu_panda_the_kaboom_of_doom
2010-06-30,the_last_airbender,https://www.rottentomatoes.com/m/the_last_airbender,last_airbender,last_airbender
2006-05-03,mission_impossible_iii,https://www.rottentomatoes.com/m/mission_impossible_iii,mission_impossible_3,mission_impossible_3
2013-06-27,white_house_down,white_house_down,white_house_down,white_house_down
2011-03-09,mars_needs_moms,mars_needs_moms,mars_needs_moms,mars_needs_moms
2006-10-22,flushed_away,flushed_away,flushed_away,flushed_away
2015-09-24,pan,https://www.rottentomatoes.com/m/pan,pan_2015,pan_2015
2014-02-07,mr_peabody__sherman,https://www.rottentomatoes.com/m/mr_peabody__sherman,mr_peabody_and_sherman,mr_peabody_and_sherman
2004-05-13,troy,troy,troy,troy
2012-06-06,madagascar_3_europes_most_wanted,madagascar_3_europes_most_wanted,madagascar_3_europes_most_wanted,madagascar_3_europes_most_wanted
2002-11-17,die_another_day,die_another_day,die_another_day,die_another_day
2016-07-14,ghostbusters,ghostbusters,ghostbusters,ghostbusters
1998-07-01,armageddon,armageddon,armageddon,armageddon
2002-07-03,men_in_black_ii,men_in_black_ii,men_in_black_ii,men_in_black_ii
2007-11-05,beowulf,beowulf,beowulf,beowulf
2016-01-23,kung_fu_panda_3,kung_fu_panda_3,kung_fu_panda_3,kung_fu_panda_3
2011-12-07,mission_impossible___ghost_protocol,https://www.rottentomatoes.com/m/mission_impossible___ghost_protocol,mission_impossible_ghost_protocol,mission_impossible_ghost_protocol
2012-11-21,rise_of_the_guardians,rise_of_the_guardians,rise_of_the_guardians,rise_of_the_guardians
2005-12-21,fun_with_dick_and_jane,fun_with_dick_and_jane,fun_with_dick_and_jane,fun_with_dick_and_jane
2003-12-05,the_last_samurai,https://www.rottentomatoes.com/m/the_last_samurai,last_samurai,last_samurai
2014-12-03,exodus_gods_and_kings,exodus_gods_and_kings,exodus_gods_and_kings,exodus_gods_and_kings
2009-05-06,star_trek,star_trek,star_trek,star_trek
2002-05-01,spider_man,spider_man,spider_man,spider_man
2014-06-12,how_to_train_your_dragon_2,how_to_train_your_dragon_2,how_to_train_your_dragon_2,how_to_train_your_dragon_2
2016-02-25,gods_of_egypt,gods_of_egypt,gods_of_egypt,gods_of_egypt
2005-07-28,stealth,stealth,stealth,stealth
2009-03-05,watchmen,watchmen,watchmen,watchmen
1998-07-10,lethal_weapon_4,lethal_weapon_4,lethal_weapon_4,lethal_weapon_4
2003-06-19,hulk,hulk,hulk,hulk
2013-03-26,gi_joe_retaliation,gi_joe_retaliation,gi_joe_retaliation,gi_joe_retaliation
2005-04-06,sahara,https://www.rottentomatoes.com/m/sahara,1144274-sahara,1144274-sahara
2001-07-02,final_fantasy_the_spirits_within,final_fantasy_the_spirits_within,final_fantasy_the_spirits_within,final_fantasy_the_spirits_within
2011-07-22,captain_america_the_first_avenger,captain_america_the_first_avenger,captain_america_the_first_avenger,captain_america_the_first_avenger
1999-11-08,the_world_is_not_enough,https://www.rottentomatoes.com/m/the_world_is_not_enough,world_is_not_enough,world_is_not_enough
2003-11-14,master_and_commander_the_far_side_of_the_world,master_and_commander_the_far_side_of_the_world,master_and_commander_the_far_side_of_the_world,master_and_commander_the_far_side_of_the_world
2012-11-13,the_twilight_saga_breaking_dawn___part_2,https://www.rottentomatoes.com/m/the_twilight_saga_breaking_dawn___part_2,the_twilight_saga_breaking_dawn_part_2,the_twilight_saga_breaking_dawn_part_2
2011-11-17,happy_feet_two,happy_feet_two,happy_feet_two,happy_feet_two
2008-06-12,the_incredible_hulk,the_incredible_hulk,the_incredible_hulk,the_incredible_hulk
2016-06-01,the_bfg,the_bfg,the_bfg,the_bfg
2015-12-25,the_revenant,https://www.rottentomatoes.com/m/the_revenant,the_revenant_2015,the_revenant_2015
2013-07-11,turbo,turbo,turbo,turbo
2011-03-02,rango,rango,rango,rango
2014-11-22,penguins_of_madagascar,penguins_of_madagascar,penguins_of_madagascar,penguins_of_madagascar
2007-08-03,the_bourne_ultimatum,https://www.rottentomatoes.com/m/the_bourne_ultimatum,bourne_ultimatum,bourne_ultimatum
2008-06-04,kung_fu_panda,kung_fu_panda,kung_fu_panda,kung_fu_panda
2015-07-14,ant_man,ant_man,ant_man,ant_man
2013-11-15,the_hunger_games_catching_fire,the_hunger_games_catching_fire,the_hunger_games_catching_fire,the_hunger_games_catching_fire
2015-03-18,home,home,home,home
2005-06-28,war_of_the_worlds,war_of_the_worlds,war_of_the_worlds,war_of_the_worlds
2003-07-18,bad_boys_ii,bad_boys_ii,bad_boys_ii,bad_boys_ii
2011-10-28,puss_in_boots,puss_in_boots,puss_in_boots,puss_in_boots
2010-07-21,salt,salt,salt,salt
2014-03-20,noah,noah,noah,noah
2011-10-25,the_adventures_of_tintin,the_adventures_of_tintin,the_adventures_of_tintin,the_adventures_of_tintin
2004-05-31,harry_potter_and_the_prisoner_of_azkaban,harry_potter_and_the_prisoner_of_azkaban,harry_potter_and_the_prisoner_of_azkaban,harry_potter_and_the_prisoner_of_azkaban
2008-11-18,australia,australia,australia,australia
2013-05-30,after_earth,after_earth,after_earth,after_earth
2000-05-19,dinosaur,https://www.rottentomatoes.com/m/dinosaur,1097046-dinosaur,1097046-dinosaur
2014-12-17,night_at_the_museum_secret_of_the_tomb,night_at_the_museum_secret_of_the_tomb,night_at_the_museum_secret_of_the_tomb,night_at_the_museum_secret_of_the_tomb
2010-10-28,megamind,megamind,megamind,megamind
2001-11-16,harry_potter_and_the_philosophers_stone,harry_potter_and_the_philosophers_stone,harry_potter_and_the_philosophers_stone,harry_potter_and_the_philosophers_stone
2013-07-18,ripd,ripd,ripd,ripd
2003-07-09,pirates_of_the_caribbean_the_curse_of_the_black_pearl,pirates_of_the_caribbean_the_curse_of_the_black_pearl,pirates_of_the_caribbean_the_curse_of_the_black_pearl,pirates_of_the_caribbean_the_curse_of_the_black_pearl
2014-11-18,the_hunger_games_mockingjay___part_1,https://www.rottentomatoes.com/m/the_hunger_games_mockingjay___part_1,the_hunger_games_mockingjay_part_1,the_hunger_games_mockingjay_part_1
2006-05-17,the_da_vinci_code,https://www.rottentomatoes.com/m/the_da_vinci_code,da_vinci_code,da_vinci_code
2014-03-19,rio_2,rio_2,rio_2,rio_2
2003-04-24,x2,x2,x2,x2
2011-04-20,fast_five,fast_five,fast_five,fast_five
2011-11-22,sherlock_holmes_a_game_of_shadows,sherlock_holmes_a_game_of_shadows,sherlock_holmes_a_game_of_shadows,sherlock_holmes_a_game_of_shadows
2010-04-01,clash_of_the_titans,clash_of_the_titans,clash_of_the_titans,clash_of_the_titans
1990-06-01,total_recall,total_recall,total_recall,total_recall
1999-08-27,the_13th_warrior,https://www.rottentomatoes.com/m/the_13th_warrior,13th_warrior,13th_warrior
2012-08-08,the_bourne_legacy,the_bourne_legacy,the_bourne_legacy,the_bourne_legacy
1997-06-20,batman__robin,https://www.rottentomatoes.com/m/batman__robin,1077027-batman_and_robin,1077027-batman_and_robin
2000-11-17,how_the_grinch_stole_christmas,how_the_grinch_stole_christmas,how_the_grinch_stole_christmas,how_the_grinch_stole_christmas
2004-05-26,the_day_after_tomorrow,https://www.rottentomatoes.com/m/the_day_after_tomorrow,day_after_tomorrow,day_after_tomorrow
2000-05-24,mission_impossible_ii,mission_impossible_ii,mission_impossible_ii,mission_impossible_ii
2000-03-15,the_perfect_storm,the_perfect_storm,the_perfect_storm,the_perfect_storm
2007-06-13,fantastic_4_rise_of_the_silver_surfer,https://www.rottentomatoes.com/m/fantastic_4_rise_of_the_silver_surfer,fantastic_four_2_rise_of_the_silver_surfer,fantastic_four_2_rise_of_the_silver_surfer
2012-11-20,life_of_pi,life_of_pi,life_of_pi,life_of_pi
2007-02-16,ghost_rider,ghost_rider,ghost_rider,ghost_rider
2016-07-27,jason_bourne,jason_bourne,jason_bourne,jason_bourne
2003-06-27,charlies_angels_full_throttle,charlies_angels_full_throttle,charlies_angels_full_throttle,charlies_angels_full_throttle
2012-05-30,prometheus,prometheus,prometheus,prometheus
2002-07-19,stuart_little_2,stuart_little_2,stuart_little_2,stuart_little_2
2013-08-07,elysium,elysium,elysium,elysium
2004-06-11,the_chronicles_of_riddick,https://www.rottentomatoes.com/m/the_chronicles_of_riddick,chronicles_of_riddick,chronicles_of_riddick
2014-01-30,robocop,robocop,robocop,robocop
2008-05-09,speed_racer,speed_racer,speed_racer,speed_racer
2010-12-17,how_do_you_know,how_do_you_know,how_do_you_know,how_do_you_know
2010-06-15,knight_and_day,knight_and_day,knight_and_day,knight_and_day
2013-04-10,oblivion,oblivion,oblivion,oblivion
2005-05-17,star_wars_episode_iii___revenge_of_the_sith,https://www.rottentomatoes.com/m/star_wars_episode_iii___revenge_of_the_sith,star_wars_episode_iii_revenge_of_the_sith,star_wars_episode_iii_revenge_of_the_sith
2002-05-15,star_wars_episode_ii___attack_of_the_clones,https://www.rottentomatoes.com/m/star_wars_episode_ii___attack_of_the_clones,star_wars_episode_ii_attack_of_the_clones,star_wars_episode_ii_attack_of_the_clones
2001-11-01,monsters_inc,monsters_inc,monsters_inc,monsters_inc
2013-07-23,the_wolverine,https://www.rottentomatoes.com/m/the_wolverine,the_wolverine_2012,the_wolverine_2012
1999-05-19,star_wars_episode_i___the_phantom_menace,https://www.rottentomatoes.com/m/star_wars_episode_i___the_phantom_menace,star_wars_episode_i_the_phantom_menace,star_wars_episode_i_the_phantom_menace
2013-03-20,the_croods,the_croods,the_croods,the_croods
2002-06-14,windtalkers,windtalkers,windtalkers,windtalkers
2016-04-06,the_huntsman_winters_war,the_huntsman_winters_war,the_huntsman_winters_war,the_huntsman_winters_war
2014-08-07,teenage_mutant_ninja_turtles,teenage_mutant_ninja_turtles,teenage_mutant_ninja_turtles,teenage_mutant_ninja_turtles
2013-09-27,gravity,gravity,gravity,gravity
1997-02-07,dantes_peak,dantes_peak,dantes_peak,dantes_peak
2016-06-01,teenage_mutant_ninja_turtles_out_of_the_shadows,teenage_mutant_ninja_turtles_out_of_the_shadows,teenage_mutant_ninja_turtles_out_of_the_shadows,teenage_mutant_ninja_turtles_out_of_the_shadows
2015-08-05,fantastic_four,fantastic_four,fantastic_four,fantastic_four
2006-10-20,night_at_the_museum,night_at_the_museum,night_at_the_museum,night_at_the_museum
2015-05-27,san_andreas,san_andreas,san_andreas,san_andreas
1997-12-11,tomorrow_never_dies,tomorrow_never_dies,tomorrow_never_dies,tomorrow_never_dies
2000-06-28,the_patriot,the_patriot,the_patriot,the_patriot
2004-12-09,oceans_twelve,oceans_twelve,oceans_twelve,oceans_twelve
2005-06-07,mr__mrs_smith,https://www.rottentomatoes.com/m/mr__mrs_smith,mr_and_mrs_smith,mr_and_mrs_smith
2015-03-18,insurgent,insurgent,insurgent,insurgent
2004-12-17,the_aviator,https://www.rottentomatoes.com/m/the_aviator,aviator,aviator
2010-12-25,gullivers_travels,gullivers_travels,gullivers_travels,gullivers_travels
2011-01-12,the_green_hornet,https://www.rottentomatoes.com/m/the_green_hornet,green_hornet,green_hornet
2014-03-05,300_rise_of_an_empire,300_rise_of_an_empire,300_rise_of_an_empire,300_rise_of_an_empire
2011-07-29,the_smurfs,the_smurfs,the_smurfs,the_smurfs
2004-04-02,home_on_the_range,home_on_the_range,home_on_the_range,home_on_the_range
2016-03-09,allegiant,allegiant,allegiant,allegiant
2011-09-28,real_steel,real_steel,real_steel,real_steel
2013-07-30,the_smurfs_2,the_smurfs_2,the_smurfs_2,the_smurfs_2
1997-06-13,speed_2_cruise_control,speed_2_cruise_control,speed_2_cruise_control,speed_2_cruise_control
2013-10-23,enders_game,enders_game,enders_game,enders_game
2007-06-20,live_free_or_die_hard,live_free_or_die_hard,live_free_or_die_hard,live_free_or_die_hard
2001-12-18,the_lord_of_the_rings_the_fellowship_of_the_ring,the_lord_of_the_rings_the_fellowship_of_the_ring,the_lord_of_the_rings_the_fellowship_of_the_ring,the_lord_of_the_rings_the_fellowship_of_the_ring
2004-06-16,around_the_world_in_80_days,around_the_world_in_80_days,around_the_world_in_80_days,around_the_world_in_80_days
2001-12-11,ali,ali,ali,ali
2003-11-21,the_cat_in_the_hat,https://www.rottentomatoes.com/m/the_cat_in_the_hat,cat_in_the_hat,cat_in_the_hat
2004-07-15,i_robot,i_robot,i_robot,i_robot
2005-05-03,kingdom_of_heaven,kingdom_of_heaven,kingdom_of_heaven,kingdom_of_heaven
1999-12-17,stuart_little,stuart_little,stuart_little,stuart_little
2009-12-08,the_princess_and_the_frog,https://www.rottentomatoes.com/m/the_princess_and_the_frog,1196003-princess_and_the_frog,1196003-princess_and_the_frog
2015-09-30,the_martian,the_martian,the_martian,the_martian
2005-07-20,the_island,https://www.rottentomatoes.com/m/the_island,island,island
2001-04-27,town__country,https://www.rottentomatoes.com/m/town__country,town_and_country,town_and_country
2000-06-09,gone_in_sixty_seconds,https://www.rottentomatoes.com/m/gone_in_sixty_seconds,1097865-gone_in_60_seconds,1097865-gone_in_60_seconds
2000-05-01,gladiator,gladiator,gladiator,gladiator
2002-06-20,minority_report,minority_report,minority_report,minority_report
2002-11-13,harry_potter_and_the_chamber_of_secrets,harry_potter_and_the_chamber_of_secrets,harry_potter_and_the_chamber_of_secrets,harry_potter_and_the_chamber_of_secrets
2006-11-14,casino_royale,casino_royale,casino_royale,casino_royale
2001-07-25,planet_of_the_apes,https://www.rottentomatoes.com/m/planet_of_the_apes,1016397-planet_of_the_apes,1016397-planet_of_the_apes
1991-07-01,terminator_2_judgment_day,terminator_2_judgment_day,terminator_2_judgment_day,terminator_2_judgment_day
2009-07-01,public_enemies,public_enemies,public_enemies,public_enemies
2007-11-02,american_gangster,american_gangster,american_gangster,american_gangster
1994-07-14,true_lies,true_lies,true_lies,true_lies
2009-06-11,the_taking_of_pelham_1_2_3,https://www.rottentomatoes.com/m/the_taking_of_pelham_1_2_3,1207149-taking_of_pelham_1_2_3,1207149-taking_of_pelham_1_2_3
2010-12-21,little_fockers,little_fockers,little_fockers,little_fockers
